gene frequency
ENSG00000196214.9 2
ENSG00000196072.10 2
ENSG00000189334.7 2
ENSG00000189298.12 2
ENSG00000189114.6 2
ENSG00000189079.14 2
ENSG00000189043.8 2
ENSG00000188997.6 2
ENSG00000188917.13 2
ENSG00000188895.10 2
ENSG00000188868.12 2
ENSG00000188760.9 2
ENSG00000188735.11 2
ENSG00000188677.13 2
ENSG00000188647.11 2
ENSG00000188529.13 2
ENSG00000188186.9 2
ENSG00000188026.10 2
ENSG00000188010.11 2
ENSG00000187824.7 2
ENSG00000187688.13 2
ENSG00000187678.8 2
ENSG00000187676.7 2
ENSG00000187626.8 2
ENSG00000187605.14 2
ENSG00000187514.13 2
ENSG00000187193.8 2
ENSG00000186951.15 2
ENSG00000186908.13 2
ENSG00000186866.15 2
ENSG00000186814.11 2
ENSG00000186687.14 2
ENSG00000186501.13 2
ENSG00000186469.7 2
ENSG00000186448.13 2
ENSG00000186283.12 2
ENSG00000186174.11 2
ENSG00000186132.13 2
ENSG00000186130.4 2
ENSG00000186111.7 2
ENSG00000186010.17 2
ENSG00000185880.11 2
ENSG00000185875.11 2
ENSG00000185787.13 2
ENSG00000185774.13 2
ENSG00000185722.15 2
ENSG00000185670.7 2
ENSG00000185658.12 2
ENSG00000185596.15 2
ENSG00000185585.18 2
ENSG00000185515.13 2
ENSG00000185442.11 2
ENSG00000185404.15 2
ENSG00000185361.7 2
ENSG00000185339.7 2
ENSG00000185220.10 2
ENSG00000185215.7 2
ENSG00000185187.11 2
ENSG00000185129.5 2
ENSG00000185043.9 2
ENSG00000184992.10 2
ENSG00000184990.11 2
