ENSG00000169018.5	FEM1B
ENSG00000123219.11	CENPK
ENSG00000174606.11	ANGEL2
ENSG00000005884.16	ITGA3
ENSG00000137210.12	TMEM14B
ENSG00000197548.11	ATG7
ENSG00000006327.12	TNFRSF12A
ENSG00000205220.10	PSMB10
ENSG00000151849.13	CENPJ
ENSG00000149474.12	KAT14
ENSG00000110066.13	KMT5B
ENSG00000167107.11	ACSF2
ENSG00000242732.4	RTL5
ENSG00000257621.6	
ENSG00000100209.8	HSCB
ENSG00000124574.13	ABCC10
ENSG00000133401.14	PDZD2
ENSG00000214753.2	HNRNPUL2
ENSG00000141699.9	RETREG3
ENSG00000135966.11	TGFBRAP1
ENSG00000170142.10	UBE2E1
ENSG00000163507.12	CIP2A
ENSG00000119599.15	DCAF4
ENSG00000196275.12	GTF2IRD2
ENSG00000235597.1	
ENSG00000143771.10	CNIH4
ENSG00000140382.13	HMG20A
ENSG00000060749.13	QSER1
ENSG00000171450.5	CDK5R2
ENSG00000103363.13	ELOB
ENSG00000153560.10	UBP1
ENSG00000132361.15	CLUH
ENSG00000143575.13	HAX1
ENSG00000265531.2	
ENSG00000053371.11	AKR7A2
ENSG00000092098.15	RNF31
ENSG00000135077.7	HAVCR2
ENSG00000066279.15	ASPM
ENSG00000278600.1	
ENSG00000056487.14	PHF21B
ENSG00000105939.11	ZC3HAV1
ENSG00000163946.12	TASOR
ENSG00000227986.1	
ENSG00000237181.1	
ENSG00000198455.4	ZXDB
ENSG00000101596.13	SMCHD1
ENSG00000183722.7	LHFPL6
ENSG00000172594.11	SMPDL3A
ENSG00000163602.9	RYBP
ENSG00000161551.11	ZNF577
ENSG00000170144.17	HNRNPA3
ENSG00000117399.12	CDC20
ENSG00000103657.12	HERC1
ENSG00000007202.13	KIAA0100
ENSG00000151458.10	ANKRD50
ENSG00000106976.17	DNM1
ENSG00000145725.18	PPIP5K2
ENSG00000153922.9	CHD1
ENSG00000155111.13	CDK19
ENSG00000112624.11	BICRAL
ENSG00000004455.15	AK2
ENSG00000160345.11	C9orf116
ENSG00000123700.4	KCNJ2
ENSG00000066382.15	MPPED2
ENSG00000101096.18	NFATC2
ENSG00000241468.6	ATP5MF
ENSG00000152492.12	CCDC50
ENSG00000101407.11	TTI1
ENSG00000138834.11	MAPK8IP3
ENSG00000183763.7	TRAIP
ENSG00000165698.14	SPACA9
ENSG00000266967.5	AARSD1
ENSG00000090889.11	KIF4A
ENSG00000105323.15	HNRNPUL1
ENSG00000196376.9	SLC35F1
ENSG00000280120.1	
ENSG00000013810.17	TACC3
ENSG00000143624.12	INTS3
ENSG00000099219.12	ERMP1
ENSG00000172379.17	ARNT2
ENSG00000105866.12	SP4
ENSG00000083857.12	FAT1
ENSG00000104951.14	IL4I1
ENSG00000011422.10	PLAUR
ENSG00000170260.7	ZNF212
ENSG00000205978.5	NYNRIN
ENSG00000136231.12	IGF2BP3
ENSG00000074319.11	TSG101
ENSG00000186010.17	NDUFA13
ENSG00000264278.1	
ENSG00000149932.15	TMEM219
ENSG00000117262.17	GPR89A
ENSG00000068489.11	PRR11
ENSG00000119421.6	NDUFA8
ENSG00000136450.11	SRSF1
ENSG00000153904.17	DDAH1
ENSG00000219545.8	UMAD1
ENSG00000110628.12	SLC22A18
ENSG00000164011.16	ZNF691
ENSG00000074054.16	CLASP1
ENSG00000133466.12	C1QTNF6
ENSG00000273893.1	
ENSG00000186566.10	GPATCH8
ENSG00000027697.11	IFNGR1
ENSG00000198825.10	INPP5F
ENSG00000230982.1	
ENSG00000168758.9	SEMA4C
ENSG00000170089.14	
ENSG00000106263.16	EIF3B
ENSG00000141497.12	ZMYND15
ENSG00000164951.14	PDP1
ENSG00000113296.13	THBS4
ENSG00000012174.10	MBTPS2
ENSG00000183826.15	BTBD9
ENSG00000113658.15	SMAD5
ENSG00000197457.8	STMN3
ENSG00000100365.13	NCF4
ENSG00000073670.12	ADAM11
ENSG00000148290.8	SURF1
ENSG00000089280.17	FUS
ENSG00000049618.20	ARID1B
ENSG00000198720.11	ANKRD13B
ENSG00000164713.8	BRI3
ENSG00000185043.9	CIB1
ENSG00000169490.15	TM2D2
ENSG00000103196.10	CRISPLD2
ENSG00000166002.5	SMCO4
ENSG00000175414.6	ARL10
ENSG00000198369.8	SPRED2
ENSG00000139697.10	SBNO1
ENSG00000253352.7	
ENSG00000177302.13	TOP3A
ENSG00000240184.5	PCDHGC3
ENSG00000220205.7	VAMP2
ENSG00000177283.5	FZD8
ENSG00000141447.15	OSBPL1A
ENSG00000142731.9	PLK4
ENSG00000175662.16	TOM1L2
ENSG00000132424.13	PNISR
ENSG00000139718.9	SETD1B
ENSG00000255737.2	
ENSG00000157741.13	UBN2
ENSG00000234906.7	APOC2
ENSG00000166920.9	C15orf48
ENSG00000111300.8	NAA25
ENSG00000109674.3	NEIL3
ENSG00000101445.8	PPP1R16B
